random_state_index,imbalance_method,significant_feature,model,elapsed_time,train_accuracy,test_accuracy,train_f1,test_f1,cv_mean,cv_std
0,none,significant_features,Logistic Regression,0.37975215911865234,0.9012467596593013,0.9062191510365252,0.6309963099630996,0.6346153846153846,0.900349654610399,0.005628607038857302
0,none,significant_features,K-Nearest Neighbors,1.0116820335388184,0.9322305888161956,0.9072063178677197,0.7620286085825748,0.6492537313432836,0.9026088681731289,0.005763283363228728
0,none,significant_features,Decision Tree,0.6212725639343262,1.0,0.9338598223099703,1.0,0.7852564102564102,0.9282392162537477,0.0060330638986764995
0,none,significant_features,Gaussian Naive Bayes,0.33530640602111816,0.8853227996543637,0.8958538993089832,0.6450133740924723,0.6546644844517185,0.8830430715176072,0.007293866429813922
0,none,significant_features,Random Forest,10.200323820114136,1.0,0.9590325765054294,1.0,0.8605042016806723,0.9529400334600143,0.004387328032246942
0,smote,significant_features,Logistic Regression,0.8428001403808594,0.860641270775114,0.8573543928923988,0.8620714753621078,0.6392009987515606,0.860369143427875,0.0059730066805362666
0,smote,significant_features,K-Nearest Neighbors,2.4459688663482666,0.9491101632593029,0.8845014807502468,0.9513361462728551,0.6968911917098446,0.9186766400565377,0.004563688812203886
0,smote,significant_features,Decision Tree,1.2651724815368652,1.0,0.937314906219151,1.0,0.8095952023988006,0.9403859406211912,0.00463469733956117
0,smote,significant_features,Gaussian Naive Bayes,0.41116809844970703,0.8179879394028534,0.8237907206317868,0.8221855018320282,0.5891829689298044,0.8169386659960048,0.0066634178156837805
0,smote,significant_features,Random Forest,19.350444555282593,1.0,0.9565646594274433,1.0,0.8620689655172413,0.9704809898030561,0.0030799376762412857
0,undersample,significant_features,Logistic Regression,0.2096385955810547,0.836405529953917,0.8593287265547878,0.8375286041189931,0.6433041301627034,0.8323978542251096,0.015685724272501596
0,undersample,significant_features,K-Nearest Neighbors,0.5055868625640869,0.880568356374808,0.8593287265547878,0.8815238095238095,0.6586826347305389,0.8112761208720901,0.014693121127497858
0,undersample,significant_features,Decision Tree,0.19724726676940918,1.0,0.9081934846989141,1.0,0.7571801566579635,0.8924075249766228,0.012968888641236596
0,undersample,significant_features,Gaussian Naive Bayes,0.10322403907775879,0.7884024577572964,0.8134254689042448,0.7927792403159082,0.5743243243243243,0.7868537329592992,0.017199872082444282
0,undersample,significant_features,Random Forest,4.24344277381897,1.0,0.9402764067127345,1.0,0.8312412831241283,0.9258313893400266,0.010651286600272059
0,smoteenn,significant_features,Logistic Regression,0.926934003829956,0.904529792419531,0.8331688055281342,0.9132956800488475,0.6132723112128147,0.9031656876285615,0.005274683180136472
0,smoteenn,significant_features,K-Nearest Neighbors,2.146109104156494,0.9952301255230126,0.8509378084896347,0.995629169542213,0.647196261682243,0.9792914923291491,0.0030776124642690563
0,smoteenn,significant_features,Decision Tree,1.2394943237304688,1.0,0.9195459032576505,1.0,0.7732962447844228,0.9675477063027942,0.0034151538435323783
0,smoteenn,significant_features,Gaussian Naive Bayes,0.5340120792388916,0.8558318037710663,0.799111549851925,0.8675659104843654,0.5628356605800214,0.8554089621108028,0.005833972146810303
0,smoteenn,significant_features,Random Forest,16.445376873016357,1.0,0.9378084896347483,1.0,0.82,0.986985356997536,0.0021985860558121346
0,smotetomek,significant_features,Logistic Regression,1.0248022079467773,0.8653931258297684,0.857847976307996,0.8670115863878161,0.6390977443609023,0.8643186912491336,0.005307795160207673
0,smotetomek,significant_features,K-Nearest Neighbors,2.816685199737549,0.9501327825317203,0.8726554787759131,0.9523339444366098,0.6725888324873096,0.918496083003547,0.004736940613747511
0,smotetomek,significant_features,Decision Tree,1.5006554126739502,1.0,0.9230009871668312,1.0,0.76,0.9396845783518744,0.004870992394482319
0,smotetomek,significant_features,Gaussian Naive Bayes,0.5706701278686523,0.8195183215130024,0.8218163869693978,0.823060766277975,0.5826589595375723,0.8193239930686476,0.007016678786993082
